occupation_name,technology_skills
Dietitians and Nutritionists,"Analytical or scientific software — Axxya Systems Nutritionist Pro
Analytical or scientific software — Compu-Cal Nutrition Assistant
Analytical or scientific software — Monash University Low FODMAP Diet App
Analytical or scientific software — The Nutrition Company FoodWorks
Analytical or scientific software — 10 more Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Data base user interface and query software — CyberSoft NutriBase
Data base user interface and query software — Database software
Data base user interface and query software — DietMaster Systems DietMaster
Data base user interface and query software — ValuSoft MasterCook Related occupations
Desktop communications software — Skype Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Graphics software Related occupations
Internet browser software — Web browser software Related occupations
Medical software — BioEx Systems Nutrition Maker Plus
Medical software — Lifestyles Technologies DietMaster Pro
Medical software — MNT Northwest MNT Assistant
Medical software — SureQuest Systems Square 1 Related occupations
Network conferencing software — ReadyTalk Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Digital Forensics Analysts,"Analytical or scientific software — Guidance Software EnCase Enterprise Related occupations
Application server software — Kubernetes Related occupations
Authentication server software — Single sign-on SSO Related occupations
Cloud-based data access and sharing software — Platform as a service PaaS
Cloud-based data access and sharing software — Slack Related occupations
Configuration management software — IBM Terraform Related occupations
Data base user interface and query software — Amazon Web Services AWS software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — ServiceNow
Data base user interface and query software — Structured query language SQL Related occupations
Development environment software — Go
Development environment software — Microsoft Azure software
Development environment software — Microsoft PowerShell
Development environment software — Ruby
Development environment software — 1 more Related occupations
Enterprise application integration software — Enterprise application integration EAI software
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — Management information systems MIS Related occupations
Enterprise system management software — Splunk Enterprise Related occupations
Expert system software — Ansible software Related occupations
Filesystem software — Computer forensic software Related occupations
Geographic information system — Geographic information system GIS systems Related occupations
Graphical user interface development software — Graphical user interface GUI design software Related occupations
Internet directory services software — Microsoft Active Directory
Internet directory services software — Network directory services software Related occupations
Network monitoring software — AccessData FTK
Network monitoring software — Cisco Systems Cisco NetFlow Collection Engine
Network monitoring software — Snort
Network monitoring software — Wireshark
Network monitoring software — 1 more Related occupations
Network security and virtual private network VPN equipment software — Firewall software Related occupations
Network security or virtual private network VPN management software — Intrusion detection system IDS Related occupations
Object or component oriented development software — C#
Object or component oriented development software — Oracle Java
Object or component oriented development software — Perl
Object or component oriented development software — R
Object or component oriented development software — 2 more Related occupations
Office suite software — Google Workspace software
Office suite software — Microsoft Office software Related occupations
Operating system software — Apple iOS
Operating system software — Apple macOS
Operating system software — Bash
Operating system software — Microsoft Windows Server
Operating system software — 3 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Program testing software — Kali Linux
Program testing software — MITRE ATT&CK software
Program testing software — System testing software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Storage networking software — Amazon Simple Storage Service S3 Related occupations
Switch or router software — Border Gateway Protocol BGP Related occupations
Transaction security and virus protection software — Metasploit
Transaction security and virus protection software — Microsoft Defender Antivirus
Transaction security and virus protection software — OpenVAS
Transaction security and virus protection software — Tenable Nessus
Transaction security and virus protection software — 1 more Related occupations
Transaction server software — Web server software Related occupations
Web platform development software — Hypertext markup language HTML
Web platform development software — JavaScript
Web platform development software — PHP
Web platform development software — Security assertion markup language SAML Related occupations"
Dining Room and Cafeteria Attendants and Bartender Helpers,"Operating system software — Microsoft Windows Related occupations
Point of sale POS software — Cafe Cartel Systems
Point of sale POS software — Plexis Software Plexis POS
Point of sale POS software — RestaurantPlus PRO Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook Related occupations"
"Directors, Religious Activities and Education","Calendar and scheduling software — Event scheduling software Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Instant messaging software — Twitter Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Google Workspace software
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Zoom Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — Social media software
Web page creation and editing software — Website development software Related occupations
Word processing software — Microsoft Word Related occupations"
"Disc Jockeys, Except Radio","Music or sound editing software — Adobe Audition
Music or sound editing software — Audion Laboratories VoxPro
Music or sound editing software — Avid Technology Pro Tools Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Dishwashers,"Operating system software — Microsoft Windows Related occupations
Web page creation and editing software — Facebook Related occupations"
"Dispatchers, Except Police, Fire, and Ambulance","Aviation ground support software — Bornemann Associates Flight Plan
Aviation ground support software — Sabre travel agent software Related occupations
Calendar and scheduling software — Scheduling software Related occupations
Computer aided design CAD software — Related occupations
Customer relationship management CRM software — Command Alkon COMMANDconcrete
Customer relationship management CRM software — Digital Gateway e-automate Related occupations
Data base reporting software — Locomotive distribution software Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Tangier Sky Scheduler View Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — TMW PowerSuite Related occupations
Expert system software — Computer aided dispatching auto routing software
Expert system software — Rail Traffic Track Warrant Control System Related occupations
Geographic information system — ESRI ArcIMS Related occupations
Helpdesk or call center software — Computer aided dispatch software Related occupations
Internet browser software — Web browser software Related occupations
Map creation software — Geomechanical design analysis GDA software Related occupations
Mobile location based services software — Dr. Dispatch
Mobile location based services software — Global positioning system GPS software
Mobile location based services software — Resource management software
Mobile location based services software — Situation resource tracking software
Mobile location based services software — 2 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Route navigation software — Routing software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Time accounting software — Kronos Workforce Timekeeper Related occupations
Word processing software — Microsoft Word Related occupations"
Document Management Specialists,"Analytical or scientific software — CAPSYS Capture
Analytical or scientific software — EMC Captiva
Analytical or scientific software — Microsoft Office Document Imaging
Analytical or scientific software — Office Gemini Diamond Vision
Analytical or scientific software — 1 more Related occupations
Application server software — Oracle WebLogic Server Related occupations
Cloud-based management software — IBM WebSphere MQ Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — PTC Creo Parametric Related occupations
Content workflow software — IBM FileNet Content Manager
Content workflow software — Thomson Reuters GoFileRoom Related occupations
Data base management system software — Teradata Database Related occupations
Data base reporting software — SAP Business Objects Related occupations
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — IBM DB2
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — 1 more Related occupations
Data compression software — File compression software Related occupations
Data mining software — Google Analytics Related occupations
Desktop communications software — Skype Related occupations
Desktop publishing software — Adobe InDesign Related occupations
Development environment software — Microsoft .NET Framework
Development environment software — Microsoft Visual Basic
Development environment software — Oracle SQL Developer Related occupations
Document management software — Adobe Acrobat
Document management software — Alfresco Software Alfresco
Document management software — FileHold Systems FileHold
Document management software — Microsoft SharePoint
Document management software — 38 more Related occupations
Electronic mail software — IBM Notes
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML
Enterprise application integration software — SAP BusinessObjects Data Integrator Related occupations
Enterprise resource planning ERP software — Business process management BPM software
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Oracle PeopleSoft Financials
Enterprise resource planning ERP software — SAP ERP Financials
Enterprise resource planning ERP software — 2 more Related occupations
File versioning software — Version control software Related occupations
Filesystem software — File system software Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Object or component oriented development software — Apache Groovy
Object or component oriented development software — Oracle Java
Object or component oriented development software — Perl
Object or component oriented development software — SAP PowerBuilder Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — IBM MVS
Operating system software — Linux
Operating system software — Microsoft Windows
Operating system software — UNIX Related occupations
Optical character reader OCR or scanning software — Optical character recognition OCR software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Central Desktop
Project management software — Microsoft Project Related occupations
Requirements analysis and system architecture software — Unified modeling language UML Related occupations
Sales and marketing software — Google Ads Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Google Meet Related occupations
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — WeVideo Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — Google Sites Related occupations
Web platform development software — Apache Tomcat
Web platform development software — Hypertext markup language HTML Related occupations
Word processing software — Microsoft Word Related occupations"
"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Route navigation software — Route mapping software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook Related occupations"
"Drafters, All Other",Section not found
Dredge Operators,"Data base user interface and query software — Teledyne Odom Hydrographic ODOM eChart Related occupations
Industrial control software — HYPACK DREDGEPACK
Industrial control software — Programmable logic controller PLC software Related occupations
Internet browser software — Web browser software Related occupations
Map creation software — Trimble HYDROpro Related occupations
Mobile location based services software — Global positioning system GPS software Related occupations"
"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — Computerized numerical control CNC software Related occupations
Inventory management software — Automated inventory software Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Driver/Sales Workers,"Communications server software — IBM Domino Related occupations
Data base user interface and query software — MobiTech Systems Route Sales Trakker
Data base user interface and query software — Regulussoft Route Accounting
Data base user interface and query software — Soft Essentials Vending Essentials Related occupations
Inventory management software — Computer Directions Route Sales Tracker Related occupations
Map creation software — GEOCOMtms A.Maze Planning
Map creation software — Route planning software Related occupations
Office suite software — Microsoft Office software Related occupations
Project management software — bMobile Technology Route Manager
Project management software — bMobile Technology Sales Related occupations
Spreadsheet software — Microsoft Excel Related occupations"
Drywall and Ceiling Tile Installers,"Accounting software — Job costing software Related occupations
Data base user interface and query software — Business management software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Optical character reader OCR or scanning software — Logic Group Scanner Digitizing Software Related occupations
Project management software — Construction Software Center EasyEst
Project management software — DevWave Estimate Works
Project management software — On Center Quick Bid
Project management software — Turtle Creek Software Goldenseal Related occupations
Word processing software — Microsoft Word
Word processing software — Wilhelm Publishing Threshold Related occupations"
"Earth Drillers, Except Oil and Gas","Mobile location based services software — Global positioning system GPS software Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Economics Teachers, Postsecondary","Analytical or scientific software — Insightful S-PLUS
Analytical or scientific software — Minitab
Analytical or scientific software — StataCorp Stata
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 10 more Related occupations
Calendar and scheduling software — Related occupations
Computer based training software — Blackboard Learn
Computer based training software — Learning management system LMS
Computer based training software — Moodle
Computer based training software — Sakai CLE
Computer based training software — 2 more Related occupations
Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Financial analysis software — JessX stock simulator software Related occupations
Information retrieval or search software — DOC Cop
Information retrieval or search software — iParadigms Turnitin Related occupations
Internet browser software — Web browser software Related occupations
Object or component oriented development software — Python
Object or component oriented development software — R
Object or component oriented development software — Sun Microsystems Java Related occupations
Office suite software — Microsoft Office software Related occupations
Optical character reader OCR or scanning software — Image scanning software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook Related occupations
Word processing software — Collaborative editing software
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
Economists,"Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — Minitab
Analytical or scientific software — SAS
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 16 more Related occupations
Business intelligence and data analysis software — Microsoft Power BI
Business intelligence and data analysis software — Tableau Related occupations
Data base management system software — MySQL
Data base management system software — Teradata Database Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Structured query language SQL Related occupations
Desktop publishing software — LaTeX Related occupations
Development environment software — Formula translation/translator FORTRAN
Development environment software — Microsoft Visual Basic
Development environment software — Microsoft Visual Basic for Applications VBA Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Financial analysis software — Palisade @Risk Related occupations
Geographic information system — ESRI ArcView Related occupations
Internet browser software — Microsoft Internet Explorer
Internet browser software — Mozilla Firefox
Internet browser software — Web browser software Related occupations
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python
Object or component oriented development software — R
Object or component oriented development software — 1 more Related occupations
Office suite software — Corel WordPerfect Office Suite
Office suite software — Microsoft Office software Related occupations
Operating system software — UNIX
Operating system software — UNIX Shell Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Corel QuattroPro
Spreadsheet software — IBM Lotus 1-2-3
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — MediaWiki Related occupations
Word processing software — Microsoft Word Related occupations"
Editors,"Cloud-based data access and sharing software — Google Drive Related occupations
Computer based training software — Adobe Captivate
Computer based training software — InScribe Related occupations
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Style guide databases Related occupations
Data mining software — Google Analytics Related occupations
Desktop publishing software — Adobe FrameMaker
Desktop publishing software — Adobe InDesign
Desktop publishing software — Microsoft Publisher
Desktop publishing software — QuarkXPress Related occupations
Document management software — Adobe Acrobat
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop Related occupations
Information retrieval or search software — LexisNexis Related occupations
Instant messaging software — Twitter Related occupations
Internet browser software — Web browser software Related occupations
Internet protocol IP multimedia subsystem software — File transfer protocol FTP software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Apple macOS Related occupations
Presentation software — Apple iWork Keynote
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Polycom RealPresence Related occupations
Video creation and editing software — Adobe After Effects
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — Avid Technology Media Composer
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — CCI NewsGate
Web page creation and editing software — Facebook
Web page creation and editing software — WordPress
Web page creation and editing software — 4 more Related occupations
Web platform development software — Cascading style sheets CSS
Web platform development software — Drupal
Web platform development software — Extensible hypertext markup language XHTML
Web platform development software — Hypertext markup language HTML Related occupations
Word processing software — AutoCrit Editing Wizard
Word processing software — Google Docs
Word processing software — Microsoft Word
Word processing software — Orpheus Technology Pro Writing Aid
Word processing software — 7 more Related occupations"
"Education Administrators, All Other",Section not found
"Education Administrators, Kindergarten through Secondary","Analytical or scientific software — Desmos
Analytical or scientific software — Geogebra
Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — 3 more Related occupations
Calendar and scheduling software — Google Calendar
Calendar and scheduling software — Scheduling software Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Communications server software — IBM Domino Related occupations
Computer based training software — Common Curriculum
Computer based training software — Edulastic
Computer based training software — Rethink Ed
Computer based training software — Schoology Related occupations
Data base management system software — Apache Cassandra Related occupations
Data base user interface and query software — Attendance tracking software
Data base user interface and query software — Blackboard software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — School Attendance Keeper
Data base user interface and query software — 2 more Related occupations
Desktop communications software — Bloomz
Desktop communications software — ParentSquare Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Google Gmail
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics GP
Enterprise resource planning ERP software — NetSuite ERP
Enterprise resource planning ERP software — Thinc Technologies Virtual School
Enterprise resource planning ERP software — Wilcomp Software RenWeb
Enterprise resource planning ERP software — 14 more Related occupations
Human resources software — Human resource management software HRMS Related occupations
Internet browser software — Web browser software Related occupations
Mobile messaging service software — Intrado SchoolMessenger Related occupations
Multi-media educational software — Nearpod
Multi-media educational software — Seesaw Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Google Classroom Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Education Administrators, Postsecondary","Accounting software — Fund accounting software
Accounting software — Sage 50 Accounting Related occupations
Analytical or scientific software — IBM SPSS Statistics
Analytical or scientific software — Minitab
Analytical or scientific software — SAS
Analytical or scientific software — StataCorp Stata Related occupations
Business intelligence and data analysis software — IBM Cognos Impromptu Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Computer based training software — Common Curriculum
Computer based training software — Instructure Canvas
Computer based training software — Moodle
Computer based training software — Schoology Related occupations
Customer relationship management CRM software — Blackbaud The Raiser's Edge Related occupations
Data base reporting software — SAP BusinessObjects Crystal Reports Related occupations
Data base user interface and query software — Blackboard software
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Nolij Corporation Nolij Transfer
Data base user interface and query software — 3 more Related occupations
Desktop communications software — ParentSquare Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Oracle PeopleSoft
Enterprise resource planning ERP software — Oracle PeopleSoft Financials
Enterprise resource planning ERP software — SAP software
Enterprise resource planning ERP software — 4 more Related occupations
Facilities management software — CollegeNET Schedule 25 Related occupations
Human resources software — Human resource management software HRMS Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Web browser software Related occupations
Mobile messaging service software — Intrado SchoolMessenger Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Mentimeter
Presentation software — Microsoft PowerPoint
Presentation software — Pear Deck
Presentation software — Poll Everywhere Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Ellucian Degree Works
Project management software — Google Classroom
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Google Meet Related occupations
Video creation and editing software — Screencastify
Video creation and editing software — YouTube Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — Facebook
Web page creation and editing software — Google Sites
Web page creation and editing software — Social media sites
Web page creation and editing software — 1 more Related occupations
Web platform development software — Hypertext markup language HTML Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
"Education and Childcare Administrators, Preschool and Daycare","Accounting software — Intuit QuickBooks
Accounting software — Quicken Related occupations
Data base user interface and query software — Auburn Software Debit Square Related occupations
Desktop communications software — Bloomz
Desktop communications software — ParentSquare
Desktop communications software — Tadpoles Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — ACS Technologies HeadMaster
Enterprise resource planning ERP software — B&I Computer Consultants Childcare Sage
Enterprise resource planning ERP software — SofterWare EZ-CARE2
Enterprise resource planning ERP software — The Gallagher Group DataCare
Enterprise resource planning ERP software — 16 more Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Education Teachers, Postsecondary","Analytical or scientific software — Desmos
Analytical or scientific software — Geogebra
Analytical or scientific software — SAS Related occupations
Calendar and scheduling software — Related occupations
Computer based training software — Blackboard Learn
Computer based training software — Learning management system LMS
Computer based training software — Padlet
Computer based training software — VoiceThread
Computer based training software — 3 more Related occupations
Data base user interface and query software — Blackboard software Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Information retrieval or search software — DOC Cop
Information retrieval or search software — iParadigms Turnitin Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Optical character reader OCR or scanning software — Image scanning software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Collaborative editing software
Word processing software — Editing software
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
"Educational Instruction and Library Workers, All Other",Section not found
"Educational, Guidance, and Career Counselors and Advisors","Analytical or scientific software — ACT WorkKeys
Analytical or scientific software — Career Dimensions Focus 2
Analytical or scientific software — Computerized testing programs
Analytical or scientific software — Counseling software
Analytical or scientific software — 3 more Related occupations
Cloud-based data access and sharing software — Google Drive Related occupations
Computer based training software — Common Curriculum
Computer based training software — Moodle
Computer based training software — Padlet
Computer based training software — Schoology Related occupations
Customer relationship management CRM software — Blackbaud The Raiser's Edge Related occupations
Data base reporting software — Microsoft SQL Server Reporting Services SSRS Related occupations
Data base user interface and query software — Blackboard software
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Zoomerang
Data base user interface and query software — 17 more Related occupations
Desktop communications software — Bloomz Related occupations
Desktop publishing software — Microsoft Publisher Related occupations
Development environment software — Adobe ActionScript Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook
Electronic mail software — Yahoo! Email Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — Oracle PeopleSoft Related occupations
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — SmugMug Flickr Related occupations
Human resources software — Oracle Taleo Related occupations
Information retrieval or search software — LexisNexis Related occupations
Instant messaging software — GroupMe Related occupations
Internet browser software — Microsoft Internet Explorer
Internet browser software — Web browser software Related occupations
Medical software — Athena Software Penelope Case Management
Medical software — Healthcare common procedure coding system HCPCS Related occupations
Mobile messaging service software — Intrado SchoolMessenger Related occupations
Network conferencing software — Chat software Related occupations
Network monitoring software — Computer-assisted live supervision Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Blackboard Wimba
Presentation software — Microsoft PowerPoint
Presentation software — Prezi Related occupations
Project management software — Google Classroom
Project management software — Microsoft Project
Project management software — Palm Pal Transana
Project management software — Productivity software Related occupations
Spreadsheet software — EZAnalyze
Spreadsheet software — Microsoft Excel Related occupations
Video conferencing software — Google Meet
Video conferencing software — LogMeIn GoToMeeting Related occupations
Video creation and editing software — Screencastify Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — LinkedIn
Web page creation and editing software — Orbius
Web page creation and editing software — Web page design and editing software Related occupations
Web platform development software — Ext JS Related occupations
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
"Electric Motor, Power Tool, and Related Repairers","Analytical or scientific software — Commutator profiling software
Analytical or scientific software — Motor testing software Related occupations
Computer aided design CAD software — Autodesk AutoCAD Related occupations
Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Facilities management software — Computerized maintenance management system CMMS Related occupations
Object or component oriented development software — Python Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Electrical and Electronic Engineering Technologists and Technicians,"Analytical or scientific software — MathWorks Simulink
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — Transmission line simulators
Analytical or scientific software — Wolfram Research Mathematica
Analytical or scientific software — 26 more Related occupations
Business intelligence and data analysis software — IBM Cognos Impromptu Related occupations
Cloud-based management software — IBM WebSphere Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Autodesk Revit
Computer aided design CAD software — Bentley MicroStation
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — 16 more Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Oracle Database Related occupations
Development environment software — C
Development environment software — Eclipse IDE
Development environment software — Microsoft Visual Basic
Development environment software — National Instruments LabVIEW
Development environment software — 9 more Related occupations
Document management software — Adobe Acrobat
Document management software — FlukeView Forms Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Oracle Hyperion
Enterprise resource planning ERP software — Oracle JD Edwards EnterpriseOne
Enterprise resource planning ERP software — Oracle Primavera Enterprise Project Portfolio Management
Enterprise resource planning ERP software — SAP software Related occupations
Graphics or photo imaging software — Graphics software Related occupations
Industrial control software — AVEVA InTouch HMI
Industrial control software — Programmable logic controller PLC software
Industrial control software — Rockwell RSView
Industrial control software — Supervisory control and data acquisition SCADA software
Industrial control software — 1 more Related occupations
Internet browser software — Microsoft Internet Explorer Related occupations
Network connectivity terminal emulation software — Terminal emulation software Related occupations
Object or component oriented development software — C++
Object or component oriented development software — Computer aided software engineering CASE tools
Object or component oriented development software — Microsoft Visual Basic.NET
Object or component oriented development software — Python Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — Magellan Firmware
Operating system software — Microsoft Windows
Operating system software — UNIX
Operating system software — 1 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Program testing software — Debugging software
Program testing software — Rockwell RSLogix
Program testing software — Vector Software VectorCast Related occupations
Project management software — Bentley Systems ProjectWise
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
Electrical and Electronic Equipment Assemblers,"Analytical or scientific software — Calibration software Related occupations
Development environment software — National Instruments LabVIEW Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Sage 100 ERP
Enterprise resource planning ERP software — SAP software Related occupations
Industrial control software — Production control software Related occupations
Network connectivity terminal emulation software — Rasmussen Software Anzio
Network connectivity terminal emulation software — Terminal emulation software Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
