occupation_name,technology_skills
Advanced Practice Psychiatric Nurses,"Analytical or scientific software — SAS Related occupations
Data base user interface and query software — Invivo Data EPX ePRO Management System
Data base user interface and query software — Microsoft Access Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Internet browser software — Web browser software Related occupations
Medical software — Medical condition coding software
Medical software — Patient management software
Medical software — Young Mania Rating Scale
Medical software — Zung Depression Rating Scale
Medical software — 17 more Related occupations
Office suite software — Microsoft Office software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Advertising and Promotions Managers,"Analytical or scientific software — Business analysis software
Analytical or scientific software — Data visualization software
Analytical or scientific software — Google Analytics
Analytical or scientific software — WebTrends Analytics
Analytical or scientific software — 1 more Related occupations
Business intelligence and data analysis software — Actuate BIRT
Business intelligence and data analysis software — Google DoubleClick
Business intelligence and data analysis software — Tableau Related occupations
Calendar and scheduling software — Scheduling software Related occupations
Customer relationship management CRM software — Constant Contact
Customer relationship management CRM software — MarketSharp
Customer relationship management CRM software — Oracle Eloqua
Customer relationship management CRM software — Salesforce software Related occupations
Data base management system software — Microsoft SQL Server Related occupations
Data base reporting software — AdRelevance Related occupations
Data base user interface and query software — Database software
Data base user interface and query software — Microsoft Access
Data base user interface and query software — PaloAlto Advertising Plan Pro
Data base user interface and query software — Structure query language SQL
Data base user interface and query software — 1 more Related occupations
Desktop publishing software — Adobe InDesign
Desktop publishing software — Adobe PageMaker
Desktop publishing software — Microsoft Publisher
Desktop publishing software — Quark enterprise publishing software Related occupations
Document management software — Adobe Acrobat
Document management software — Adobe Acrobat Reader
Document management software — Data warehousing software
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Email software
Electronic mail software — IBM Lotus Notes
Electronic mail software — MailChimp
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML
Enterprise application integration software — Hootsuite Related occupations
Enterprise resource planning ERP software — Brainworks
Enterprise resource planning ERP software — Microsoft Dynamics
Enterprise resource planning ERP software — SAP software Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop Related occupations
Information retrieval or search software — Pinterest Related occupations
Instant messaging software — Twitter Related occupations
Internet browser software — Web browser software Related occupations
Inventory management software — Inventory tracking software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Microsoft Windows Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Experience in Software Webplanner
Project management software — Microsoft Project Related occupations
Sales and marketing software — Google Ads
Sales and marketing software — HubSpot software
Sales and marketing software — Marketo Marketing Automation
Sales and marketing software — Webtrends software Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Video creation and editing software — Adobe After Effects
Video creation and editing software — Apple Final Cut Pro
Video creation and editing software — Avid Media Composer
Video creation and editing software — YouTube
Video creation and editing software — 3 more Related occupations
Web page creation and editing software — Adobe Dreamweaver
Web page creation and editing software — Adobe Experience Manager (AEM)
Web page creation and editing software — Facebook
Web page creation and editing software — WordPress
Web page creation and editing software — 3 more Related occupations
Web platform development software — Drupal
Web platform development software — Hypertext markup language HTML
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
Advertising Sales Agents,"Analytical or scientific software — Google Analytics Related occupations
Calendar and scheduling software — Contact management software Related occupations
Customer relationship management CRM software — Salesforce software Related occupations
Data base user interface and query software — FileMaker Pro
Data base user interface and query software — Microsoft Access Related occupations
Desktop publishing software — Adobe InDesign
Desktop publishing software — Microsoft Publisher
Desktop publishing software — QuarkXPress Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — Microsoft Dynamics Related occupations
Graphics or photo imaging software — Adobe Creative Cloud software
Graphics or photo imaging software — Adobe Illustrator
Graphics or photo imaging software — Adobe Photoshop
Graphics or photo imaging software — Canva Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Sales and marketing software — Google Ads Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — WordPress Related occupations
Word processing software — Microsoft Word Related occupations"
Aerospace Engineering and Operations Technologists and Technicians,"Analytical or scientific software — Data acquisition software
Analytical or scientific software — Vibration analysis software Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes CATIA
Computer aided design CAD software — Dassault Systemes SolidWorks Related occupations
Data base management system software — Apache Hadoop Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Microsoft SQL Server
Data base user interface and query software — Oracle Database
Data base user interface and query software — Structured query language SQL Related occupations
Development environment software — National Instruments LabVIEW Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Graphical user interface development software — Graphical user interface GUI design software Related occupations
Industrial control software — Computerized numerical control CNC software Related occupations
Inventory management software — Inventory software Related occupations
Object or component oriented development software — Apache JMeter
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Python Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Job control language JCL
Operating system software — Linux
Operating system software — Red Hat Enterprise Linux
Operating system software — UNIX Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Program testing software — Bugzilla
Program testing software — Hewlett Packard LoadRunner
Program testing software — JUnit
Program testing software — Selenium
Program testing software — 1 more Related occupations
Project management software — Atlassian JIRA
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Transaction server software — Customer information control system CICS Related occupations
Web platform development software — JavaScript Related occupations
Word processing software — Microsoft Word Related occupations"
Aerospace Engineers,"Analytical or scientific software — MathWorks Simulink
Analytical or scientific software — The MathWorks MATLAB
Analytical or scientific software — Universal Technical Systems TK Solver
Analytical or scientific software — Wolfram Research Mathematica
Analytical or scientific software — 34 more Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes CATIA
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — PTC Creo Parametric
Computer aided design CAD software — 5 more Related occupations
Computer aided manufacturing CAM software — 1CadCam Unigraphics Related occupations
Configuration management software — IBM Rational ClearCase Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Structure query language SQL Related occupations
Development environment software — C
Development environment software — Microsoft Visual Basic
Development environment software — Microsoft Visual Studio
Development environment software — National Instruments LabVIEW
Development environment software — 5 more Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise application integration software — Extensible markup language XML Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Graphics or photo imaging software — Image processing systems Related occupations
Object or component oriented development software — C#
Object or component oriented development software — C++
Object or component oriented development software — Oracle Java
Object or component oriented development software — Perl
Object or component oriented development software — 2 more Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Linux
Operating system software — Microsoft Windows
Operating system software — Shell script
Operating system software — UNIX
Operating system software — 1 more Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Process mapping and design software — Microsoft Visio Related occupations
Project management software — Microsoft Project
Project management software — PTC Pro/INTRALINK Related occupations
Requirements analysis and system architecture software — IBM Rational DOORS
Requirements analysis and system architecture software — IBM Rational RequisitePro Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Agents and Business Managers of Artists, Performers, and Athletes","Accounting software — Financial accounting software Related occupations
Analytical or scientific software — Statistical analysis software Related occupations
Customer relationship management CRM software — Salesforce software Related occupations
Data base user interface and query software — Database software Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Information retrieval or search software — LexisNexis Related occupations
Instant messaging software — Twitter Related occupations
Internet browser software — Web browser software Related occupations
Office suite software — Microsoft Office software Related occupations
Operating system software — Apple macOS Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Tax preparation software — Tax planning software Related occupations
Transaction server software — Web server software Related occupations
Video conferencing software — Videoconferencing software
Video conferencing software — Zoom Related occupations
Video creation and editing software — Avid Technology iNEWS Related occupations
Web page creation and editing software — Facebook
Web page creation and editing software — LinkedIn
Web page creation and editing software — Salesforce Marketing Cloud Related occupations
Word processing software — Microsoft Word Related occupations"
Agricultural Engineers,"Analytical or scientific software — SAS Related occupations
Computer aided design CAD software — Autodesk AutoCAD
Computer aided design CAD software — Dassault Systemes SolidWorks
Computer aided design CAD software — Eagle Point LANDCADD
Computer aided design CAD software — PTC Creo Parametric
Computer aided design CAD software — 1 more Related occupations
Data base user interface and query software — Microsoft Access
Data base user interface and query software — Oracle Database Related occupations
Desktop publishing software — Adobe InDesign Related occupations
Document management software — Microsoft SharePoint Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Enterprise resource planning ERP software — SAP software Related occupations
Geographic information system — ESRI ArcView Related occupations
Graphics or photo imaging software — Adobe Photoshop Related occupations
Industrial control software — Supervisory control and data acquisition SCADA software Related occupations
Internet browser software — Web browser software Related occupations
Object or component oriented development software — Oracle Java Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Project management software — Microsoft Project Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
Agricultural Equipment Operators,"Data base user interface and query software — Martens Farms Farm Trac
Data base user interface and query software — Microsoft Access Related occupations
Enterprise resource planning ERP software — Farm Management Software Hay and Crop Manager Related occupations
Map creation software — Martens Farms Farm Site Mate Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations"
Agricultural Inspectors,"Data base user interface and query software — Microsoft Access
Data base user interface and query software — Operational databases Related occupations
Electronic mail software — Microsoft Outlook Related occupations
Graphics or photo imaging software — Image processing software Related occupations
Internet browser software — Microsoft Internet Explorer Related occupations
Office suite software — Microsoft Office software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Word processing software — Microsoft Word Related occupations"
"Agricultural Sciences Teachers, Postsecondary","Calendar and scheduling software — Related occupations
Computer based training software — Blackboard Learn
Computer based training software — Course management system software
Computer based training software — Learning management system LMS
Computer based training software — Sakai CLE
Computer based training software — 1 more Related occupations
Data base user interface and query software — Data management software
Data base user interface and query software — Database software Related occupations
Electronic mail software — Email software
Electronic mail software — Microsoft Outlook Related occupations
Information retrieval or search software — DOC Cop
Information retrieval or search software — iParadigms Turnitin Related occupations
Internet browser software — Web browser software Related occupations
Medical software — Epic Systems Related occupations
Office suite software — Microsoft Office software Related occupations
Optical character reader OCR or scanning software — Image scanning software Related occupations
Presentation software — Microsoft PowerPoint Related occupations
Spreadsheet software — Microsoft Excel Related occupations
Web page creation and editing software — Web page design software Related occupations
Word processing software — Collaborative editing software
Word processing software — Google Docs
Word processing software — Microsoft Word Related occupations"
